forecast_ts,horizon,yhat,method,valid_from,valid_to,description
2025-12-15T17:15:30.822454Z,1,49.34062800425085,naive_slope_step,2025-12-15T17:15:30.822454Z,2025-12-15T17:30:30.822454Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 49.34 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:30.944098Z,1,49.74836814995212,naive_slope_step,2025-12-15T17:15:30.944098Z,2025-12-15T17:30:30.944098Z,"Forecast generated at 2025-12-15 17:15:30 UTC predicts 49.75 for horizon t+1 (valid from 17:15:30 to 17:30:30 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.066578Z,1,50.131961445119934,naive_slope_step,2025-12-15T17:15:31.066578Z,2025-12-15T17:30:31.066578Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.13 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.187002Z,1,50.47874944474886,naive_slope_step,2025-12-15T17:15:31.187002Z,2025-12-15T17:30:31.187002Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.48 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.316381Z,1,50.77836207884649,naive_slope_step,2025-12-15T17:15:31.316381Z,2025-12-15T17:30:31.316381Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 50.78 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.443067Z,1,51.02336241315908,naive_slope_step,2025-12-15T17:15:31.443067Z,2025-12-15T17:30:31.443067Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.02 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.567676Z,1,51.209709041722995,naive_slope_step,2025-12-15T17:15:31.567676Z,2025-12-15T17:30:31.567676Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.21 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.697152Z,1,51.33700736191359,naive_slope_step,2025-12-15T17:15:31.697152Z,2025-12-15T17:30:31.697152Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.34 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.824295Z,1,51.40853410892494,naive_slope_step,2025-12-15T17:15:31.824295Z,2025-12-15T17:30:31.824295Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.41 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
2025-12-15T17:15:31.944801Z,1,51.43103362424623,naive_slope_step,2025-12-15T17:15:31.944801Z,2025-12-15T17:30:31.944801Z,"Forecast generated at 2025-12-15 17:15:31 UTC predicts 51.43 for horizon t+1 (valid from 17:15:31 to 17:30:31 UTC), indicating an expected increase relative to the most recent observed state."
